LSTM1,LSTM2,LSTM3,LSTM4
-3.8460817,889.3522,1554.2114,25.78665
-3.8747425,888.56195,1554.2545,25.78882
-3.8672497,887.85547,1554.3217,25.788452
-3.8979106,888.954,1554.3313,25.791195
-3.911034,890.4444,1554.4023,25.787994
-3.899584,891.3247,1554.4167,25.788305
-3.9045208,890.4072,1554.4761,25.788797
-3.8974893,893.0536,1554.4888,25.786934
-3.8746066,890.93567,1554.5321,25.788504
-3.8362272,889.9325,1554.5802,25.785032
-3.7908475,892.8616,1554.6237,25.785776
-3.73918,890.8659,1554.6401,25.785587
-3.6891322,890.8435,1554.6996,25.787243
-3.6619277,893.1538,1554.7574,25.78961
-3.6304514,894.19,1554.7957,25.790503
-3.5805292,891.9885,1554.8665,25.792389
-3.535261,889.30804,1554.957,25.786703
-3.4801397,891.30176,1555.0554,25.789492
-3.4275575,890.4501,1555.2056,25.782164
-3.3818202,893.8653,1555.3845,25.784275
-3.321865,893.23627,1555.6401,25.784843
-3.2600963,894.60626,1556.017,25.786232
-3.175307,896.80273,1556.5206,25.787329
-3.1266105,895.0513,1557.2172,25.785793
-3.082612,893.772,1558.1398,25.782816
-3.8811321,889.36334,1554.1086,25.786577
-3.9098272,888.57416,1554.1517,25.788748
-3.9023225,887.8685,1554.2189,25.78838
-3.932928,888.9677,1554.2288,25.791126
-3.9460645,890.45856,1554.2998,25.787926
-3.9346192,891.3391,1554.3142,25.788239
-3.939522,890.4263,1554.3738,25.788727
-3.9324367,893.0758,1554.3866,25.786865
-3.9095101,890.95764,1554.4302,25.788439
-3.8708618,889.9538,1554.4785,25.784962
-3.8251026,892.88135,1554.5221,25.785694
-3.7729769,890.8858,1554.5391,25.7855
-3.7225099,890.8627,1554.5988,25.787155
-3.6949816,893.17175,1554.6571,25.789516
-3.6630747,894.21783,1554.696,25.790407
-3.6127186,892.0152,1554.7676,25.792294
-3.5670688,889.3346,1554.8589,25.786608
-3.511457,891.3268,1554.9585,25.789398
-3.4583864,890.47394,1555.1104,25.782076
-3.412273,893.91534,1555.2915,25.784187
-3.351796,893.30707,1555.55,25.784752
-3.2896373,894.67236,1555.9312,25.786135
-3.2044065,896.8638,1556.4409,25.787224
-3.1553452,895.1086,1557.1456,25.78569
-3.1109886,893.82465,1558.0795,25.782717
-4.62131,482.58194,856.87787,12.752932
-4.607372,482.23914,856.9275,12.755185
-4.5624533,481.27173,856.977,12.755026
-4.5573864,482.0808,856.9912,12.756562
-4.5397487,483.40894,857.0454,12.754852
-4.488151,484.21207,857.0553,12.755555
-4.459337,483.5425,857.0847,12.75575
-4.4224343,484.55292,857.0893,12.754684
-4.3771367,483.22675,857.10724,12.755388
-4.3334794,483.38266,857.126,12.753257
-4.2943153,485.35577,857.1377,12.754582
-4.2519965,483.81964,857.1331,12.754291
-4.2076507,483.73846,857.1481,12.755281
-4.1753497,485.71335,857.1595,12.757977
-4.1524277,485.92157,857.1519,12.758154
-4.1018744,484.3298,857.1515,12.760074
-4.0530376,482.36554,857.1581,12.757156
-4.008941,483.7595,857.1514,12.758823
-3.9790077,483.38055,857.1559,12.754807
-3.9476447,484.01147,857.1512,12.755867
-3.9205816,482.32944,857.14795,12.756932
-3.8847332,483.9439,857.15515,12.758367
-3.8292744,485.95584,857.1459,12.759401
-3.7986515,484.83414,857.14215,12.75815
-3.7734752,483.9763,857.1282,12.75587
-3.4763856,605.9001,1071.7875,16.513027
-3.4718752,605.4277,1071.8329,16.515274
-3.435416,604.4984,1071.8861,16.515089
-3.4394674,605.43646,1071.896,16.516888
-3.428493,606.77155,1071.9521,16.514652
-3.3853896,607.6439,1071.9602,16.515217
-3.3645813,606.7719,1071.993,16.51567
-3.335077,608.1937,1071.9958,16.514328
-3.2948623,606.61304,1072.0157,16.5153
-3.2566607,606.4905,1072.0369,16.512798
-3.222123,608.792,1072.051,16.514215
-3.1852937,607.11505,1072.0448,16.514057
-3.145998,607.07025,1072.063,16.515306
-3.119673,609.1666,1072.0757,16.518045
-3.1012132,609.38544,1072.0673,16.518442
-3.0586457,607.6432,1072.0691,16.520422
-3.0169165,605.4729,1072.0769,16.516668
-2.9782467,607.1082,1072.0697,16.51864
-2.955421,606.59296,1072.0765,16.513485
-2.932032,607.40826,1072.072,16.514822
-2.9116,605.5306,1072.0698,16.515888
-2.8807857,607.15375,1072.0792,16.51747
-2.8303196,609.348,1072.0713,16.518652
-2.8064916,608.12933,1072.0685,16.51727
-2.7879965,607.2634,1072.0526,16.514668
-6.1182747,319.17062,571.9266,7.7941628
-6.09165,318.98483,571.9822,7.796385
-6.0352025,317.9785,572.02704,7.7962694
-6.0175705,318.63623,572.0475,7.797454
-5.9904447,319.9112,572.09924,7.7964516
-5.927546,320.6317,572.11194,7.797345
-5.887994,320.20673,572.13684,7.7971945
-5.8413057,320.67447,572.1442,7.7964835
-5.7890944,319.6892,572.15967,7.7968307
-5.737982,320.21838,572.17566,7.795228
-5.692462,321.76172,572.18463,7.7963715
-5.6427627,320.41968,572.18243,7.795929
-5.5912657,320.29904,572.19336,7.796595
-5.550594,322.08075,572.2034,7.799207
-5.521269,322.2739,572.19745,7.7991076
-5.4597735,320.8827,572.19446,7.8009367
-5.4014263,319.19275,572.1992,7.799107
-5.3499556,320.26627,572.1938,7.8004036
-5.3102865,320.06818,572.1954,7.797865
-5.268106,320.45575,572.19104,7.7985244
-5.231753,319.0343,572.1865,7.7996016
-5.188759,320.63593,572.1913,7.800849
-5.126199,322.40558,572.18066,7.80171
-5.0859923,321.41293,572.176,7.800581
-5.0516486,320.566,572.16486,7.7987394
-3.8811321,889.36334,1554.1086,25.786577
-3.9098272,888.57416,1554.1517,25.788748
-3.9023225,887.8685,1554.2189,25.78838
-3.932928,888.9677,1554.2288,25.791126
-3.9460645,890.45856,1554.2998,25.787926
-3.9346192,891.3391,1554.3142,25.788239
-3.939522,890.4263,1554.3738,25.788727
-3.9324367,893.0758,1554.3866,25.786865
-3.9095101,890.95764,1554.4302,25.788439
-3.8708618,889.9538,1554.4785,25.784962
-3.8251026,892.88135,1554.5221,25.785694
-3.7729769,890.8858,1554.5391,25.7855
-3.7225099,890.8627,1554.5988,25.787155
-3.6949816,893.17175,1554.6571,25.789516
-3.6630747,894.21783,1554.696,25.790407
-3.6127186,892.0152,1554.7676,25.792294
-3.5670688,889.3346,1554.8589,25.786608
-3.511457,891.3268,1554.9585,25.789398
-3.4583864,890.47394,1555.1104,25.782076
-3.412273,893.91534,1555.2915,25.784187
-3.351796,893.30707,1555.55,25.784752
-3.2896373,894.67236,1555.9312,25.786135
-3.2044065,896.8638,1556.4409,25.787224
-3.1553452,895.1086,1557.1456,25.78569
-3.1109886,893.82465,1558.0795,25.782717
-2.8920999,889.0488,1557.0134,25.788582
-2.9198174,888.22876,1557.0548,25.790783
-2.912663,887.5021,1557.1205,25.790459
-2.9448156,888.57983,1557.1277,25.79308
-2.9575946,890.05786,1557.1958,25.789799
-2.9460225,890.9315,1557.2073,25.790089
-2.951872,889.8871,1557.2614,25.79071
-2.9463108,892.4498,1557.2699,25.78881
-2.9246147,890.3375,1557.3077,25.790369
-2.8935606,889.35425,1557.3495,25.786911
-2.8585212,892.3253,1557.3857,25.787983
-2.819316,890.32306,1557.3945,25.787914
-2.7806625,890.32184,1557.4436,25.789639
-2.762286,892.66235,1557.4884,25.792147
-2.742531,893.4316,1557.5112,25.793028
-2.704412,891.2616,1557.5618,25.795
-2.6695263,888.5852,1557.6276,25.789316
-2.6277537,890.6206,1557.6919,25.792042
-2.5884666,889.8016,1557.7979,25.784573
-2.5529847,892.50287,1557.9177,25.786617
-2.5072072,891.309,1558.0913,25.787357
-2.45605,892.8086,1558.3512,25.788904
-2.3832977,895.1419,1558.6907,25.790163
-2.3445272,893.4913,1559.1617,25.788597
-2.3102796,892.33795,1559.7797,25.785511
-2.9075956,1113.476,1944.7488,33.514767
-2.9466448,1112.4775,1944.7831,33.517006
-2.941255,1111.77,1944.8549,33.51665
-2.9812584,1113.1647,1944.8555,33.51984
